gbarK,gbarNa,average_AP_overshoot,spike_rate,average_AP_width,average_AHP_depth,latency_to_first_spike,accommodation_index
34.76531989794435,118.07459460505933,30.86090743221065,0.07,2.0101828565945468,-74.13515166221082,2.2750000000000004,-0.00017079419299745265
40.077433353778474,123.45935036144152,28.128758330555026,0.06,1.8207005004766994,-74.44062579533377,2.25,0.00018450184501846593
32.425815783839326,119.48928385172057,31.953380361223054,0.08,2.239487653602973,-73.99627699857331,2.2250000000000014,-6.366870392115595e-17
31.401269470080027,121.14103013102414,32.71532602429891,0.08,2.231408854949059,-73.93944285825803,2.1500000000000004,-7.135517040092881e-21
38.83247928159779,121.67981934209115,28.995136349116027,0.07,2.0707757912412257,-74.37222924146081,2.3000000000000007,0.0001554001554001907
35.63619103287108,119.73636333548794,30.853827936985947,0.07,2.024071651939053,-74.20090853158682,2.125,-2.400482215405744e-17
32.18045010580227,123.29979030280836,32.888610321346334,0.08,2.2695268058358513,-74.01499162972162,2.1750000000000007,-2.1539483160045354e-17
38.038440085592285,122.38328366251234,30.121842566454415,0.07,2.091823068417099,-74.3477751093371,2.3000000000000007,0.0
38.52868551356539,120.03379200275043,28.50561366800803,0.07,2.0382787132576006,-74.34042905890982,2.325000000000001,0.00015420200462600757
31.942241797309165,118.53782379615137,31.9967018899064,0.08,2.221747841023273,-73.95313587189345,2.2250000000000014,0.0
38.55262685216546,119.85581360567826,28.275470979258973,0.07,2.034017845012767,-74.33883364914435,2.325000000000001,2.185751579730777e-17
37.10519978227689,119.18320702405677,29.708056706261527,0.07,2.0355272617050315,-74.2703078240401,2.25,-0.00016194331983800138
32.569764060244616,123.60668944001002,32.830183159598036,0.08,2.27727065073608,-74.0442805147248,2.1750000000000007,-8.565197162635485e-17
32.93876711547791,117.16038862947902,31.479799211235957,0.07,1.981864915993478,-74.01264446496563,2.25,-7.504847437944662e-17
35.130158350948335,120.51658033437732,31.321288128669426,0.07,2.04486863876578,-74.18032927087383,2.075000000000001,-0.0001713796058268725
36.261242124361345,123.45779721250315,31.526206055592414,0.07,2.0792783314268837,-74.27039943723544,2.200000000000001,-2.4127087801701194e-17
37.083612835258,124.7183575931164,31.439578030554625,0.07,2.0910467843891345,-74.32475223376582,2.2250000000000014,4.7704895589362195e-17
