time,quantile
324.60517621040344,0.1
309.23087787628174,0.1
305.4992492198944,0.1
326.6047191619873,0.1
334.386027097702,0.1
331.83721899986267,0.1
332.4957509040833,0.1
309.3824541568756,0.1
335.40990018844604,0.1
322.99048590660095,0.1
113.39867997169495,0.3
106.16458582878113,0.3
114.72733902931213,0.3
113.15218305587769,0.3
110.99836897850037,0.3
117.53144383430481,0.3
106.21922302246094,0.3
105.09947681427002,0.3
107.48486280441284,0.3
112.22391700744629,0.3
63.38948702812195,0.5
61.55618691444397,0.5
64.1072838306427,0.5
61.86396813392639,0.5
66.42442274093628,0.5
65.27104473114014,0.5
64.07608914375305,0.5
62.436774253845215,0.5
62.00828289985657,0.5
63.10109782218933,0.5
45.025933027267456,0.7
44.94196701049805,0.7
45.66708827018738,0.7
45.707977056503296,0.7
45.90600824356079,0.7
45.31726837158203,0.7
44.197763204574585,0.7
43.895809173583984,0.7
44.873319149017334,0.7
44.06980514526367,0.7
34.98177886009216,0.9
34.911503076553345,0.9
35.25942802429199,0.9
34.99622201919556,0.9
35.75669074058533,0.9
34.882768869400024,0.9
34.641167879104614,0.9
34.737263202667236,0.9
35.06170415878296,0.9
34.800912857055664,0.9
