V,t
-64.99922012557982,2.5
-64.99920957866668,2.5250000000000004
-64.9992275993676,2.5500000000000003
-64.99927279272686,2.575
-64.99934285824047,2.6
-64.99943458985628,2.625
-64.9995438759739,2.6500000000000004
-64.99966569944476,2.6750000000000003
-64.9997941375721,2.7
-64.99992236211091,2.725
-65.00004263926803,2.75
-65.00014632970205,2.7750000000000004
-65.0002238885234,2.8000000000000003
-65.00026486529426,2.825
-65.00025790402863,2.85
-65.00019222849971,2.875
-65.00009735930581,2.9000000000000004
-64.9999934643981,2.9250000000000003
-64.99988560083965,2.95
-64.99977828665769,2.975
-64.99967550084348,3.0
-64.99958068335243,3.0250000000000004
-64.99949673510409,3.0500000000000003
-64.999426017982,3.075
-64.99937035483393,3.1
-64.99933102947166,3.125
-64.99930878667112,3.1500000000000004
-64.99930383217234,3.1750000000000003
-64.99931583267943,3.2
-64.9993439158606,3.225
-64.99938667034823,3.25
-64.99944214573871,3.2750000000000004
-64.99950785259259,3.3000000000000003
-64.99958076243452,3.325
-64.99965730775322,3.35
-64.99973338200155,3.375
-64.99980433959647,3.4000000000000004
-64.99986499591901,3.4250000000000003
-64.99990962731434,3.45
-64.99993197109171,3.475
-64.99992522552449,3.5
-64.99988269045885,3.5250000000000004
-64.99981002879123,3.5500000000000003
-64.99971613437884,3.575
-64.99960764833408,3.6
-64.99949066419322,3.625
-64.99937072791633,3.6500000000000004
-64.99925283788731,3.6750000000000003
-64.99914144491392,3.7
-64.9990404522277,3.725
-64.99895321548406,3.75
-64.99888254276223,3.7750000000000004
-64.99883069456524,3.8000000000000003
-64.99879938381999,3.825
-64.99878977587716,3.85
-64.9988024885113,3.875
-64.99883759192079,3.9000000000000004
-64.99889460872781,3.9250000000000003
-64.99897251397837,3.95
-64.99906973514233,3.975
-64.99918415211337,4.0
-64.99931309720898,4.025
-64.99945335517053,4.05
-64.99960116316315,4.075
-64.99975221077582,4.1000000000000005
-64.9999016400214,4.125
-65.00004404533652,4.15
-65.00017347358165,4.175
-65.0002834240411,4.2
-65.000366848423,4.2250000000000005
-65.00041615085931,4.25
-65.00042318790582,4.275
-65.00037926854216,4.3
-65.00027931280414,4.325
-65.0001432968399,4.3500000000000005
-64.9999839548833,4.375
-64.99981081328536,4.4
-64.99963250672727,4.425
-64.99945677822048,4.45
-64.99929047910668,4.4750000000000005
-64.99913956905776,4.5
-64.9990091160759,4.525
-64.99890329649347,4.55
-64.99882539497308,4.575
-64.99877780450761,4.6000000000000005
-64.99876202642012,4.625
-64.99877867036396,4.65
-64.99882745432268,4.675
-64.99890720461005,4.7
-64.99901585587013,4.7250000000000005
-64.99915045107716,4.75
-64.99930714153564,4.775
-64.9994811868803,4.800000000000001
-64.99966695507612,4.825
-64.99985792241829,4.8500000000000005
-65.00004667353224,4.875
-65.00022490137364,4.9
-65.0003834072284,4.925000000000001
-65.00051210071265,4.95
-65.00059999977279,4.9750000000000005
-65.00063523068539,5.0
-65.00060502805731,5.025
-65.00049857437766,5.050000000000001
-65.00034228986365,5.075
-65.00015600311133,5.1000000000000005
-64.99995129835693,5.125
-64.99973869293521,5.15
-64.99952763727931,5.175000000000001
-64.99932651492087,5.2
-64.99914264248996,5.2250000000000005
-64.99898226971509,5.25
-64.99885057942326,5.275
-64.99875168753988,5.300000000000001
-64.99868864308885,5.325
-64.9986634281925,5.3500000000000005
-64.99867695807161,5.375
-64.99872908104543,5.4
-64.99881857853164,5.425000000000001
-64.99894316504637,5.45
-64.99909948820425,5.4750000000000005
-64.99928312871829,5.5
-64.99948860040001,5.525
-64.99970935015935,5.550000000000001
-64.99993775800473,5.575
-65.00016513704298,5.6000000000000005
-65.00038173347943,5.625
-65.00057672661781,5.65
-65.00073822886036,5.675000000000001
-65.00085328570772,5.7
-65.00090787575903,5.7250000000000005
-65.00088691071183,5.75
-65.00077509582859,5.775
-65.00059785214913,5.800000000000001
-65.00038450013321,5.825
-65.00014859998768,5.8500000000000005
-64.9999024678416,5.875
-64.99965717574632,5.9
-64.9994225516754,5.925000000000001
-64.99920717952466,5.95
-64.99901839911217,5.9750000000000005
-64.99886230617825,6.0
-64.99874375238545,6.025
-64.99866634531855,6.050000000000001
-64.99863244848464,6.075
-64.99864318131299,6.1000000000000005
-64.99869841915512,6.125
-64.99879679328484,6.15
-64.99893569089816,6.175000000000001
-64.99911125511339,6.2
-64.999318384971,6.2250000000000005
-64.9995507354338,6.25
-64.99980071738678,6.275
-65.00005949763718,6.300000000000001
-65.00031699891454,6.325
-65.00056189987058,6.3500000000000005
-65.00078163507929,6.375
-65.00096239503694,6.4
-65.00108912616197,6.425000000000001
-65.00114553079514,6.45
-65.00111406719942,6.4750000000000005
-65.00097876249298,6.5
-65.00078141896529,6.525
-65.0005530622209,6.550000000000001
-65.00030697314106,6.575
-65.00005514688213,6.6000000000000005
-64.99980829287564,6.625
-64.99957583482822,6.65
-64.99936591072166,6.675000000000001
-64.9991853728129,6.7
-64.99903978763403,6.7250000000000005
-64.99893343599223,6.75
-64.99886931296986,6.775
-64.9988491279244,6.800000000000001
-64.9988733044885,6.825
-64.99894098056993,6.8500000000000005
-64.99905000835157,6.875
-64.9991969542915,6.9
-64.9993770991229,6.925000000000001
-64.9995844378541,6.95
-64.99981167976856,6.9750000000000005
-65.00005024842488,7.0
-65.00029028165683,7.025
-65.00052063157328,7.050000000000001
-65.00072886455827,7.075
-65.00090126127097,7.1000000000000005
-65.00102281664567,7.125
-65.00107723989183,7.15
-65.00104695449403,7.175000000000001
-65.00091787712292,7.2
-65.00073773370781,7.2250000000000005
-65.00053345224052,7.25
-65.00031631152973,7.275
-65.0000964636505,7.300000000000001
-64.99988293394425,7.325
-64.9996836210188,7.3500000000000005
-64.99950529674834,7.375
-64.99935360627342,7.4
-64.99923306800095,7.425000000000001
-64.99914707360423,7.45
-64.99909788802293,7.4750000000000005
-64.99908664946311,7.5
-64.99911336939716,7.525
-64.99917693256387,7.550000000000001
-64.99927509696842,7.575
-64.99940449388231,7.6000000000000005
-64.99956062784346,7.625
-64.99973787665616,7.65
-64.99992949139101,7.675000000000001
-65.0001275963851,7.7
-65.00032318924175,7.7250000000000005
-65.0005061408308,7.75
-65.00066519528832,7.775
-65.00078797001686,7.800000000000001
-65.00086095568528,7.825
-65.00086951622886,7.8500000000000005
-65.0007978888492,7.875
-65.00065916672352,7.9
-65.00049269471552,7.925000000000001
-65.00030908229535,7.95
-65.00011782015628,7.9750000000000005
-64.99992742116046,8.0
-64.9997454203389,8.025
-64.99957837489143,8.05
-64.99943186418677,8.075000000000001
-64.99931048976246,8.1
-64.99921787532494,8.125
-64.99915666674949,8.15
-64.9991285320802,8.175
-64.9991341615301,8.200000000000001
-64.999173267481,8.225
-64.9992445844836,8.25
-64.99934586925747,8.275
-64.99947390069099,8.3
-64.99962447984144,8.325000000000001
-64.99979242993494,8.35
-64.99997159636645,8.375
-65.00015484669983,8.4
-65.00033407066773,8.425
-65.00050018017171,8.450000000000001
-65.00064310928218,8.475
-65.00075181423836,8.5
-65.00081427344838,8.525
-65.00081748748921,8.55
-65.00074747910666,8.575000000000001
-65.00061417657939,8.6
-65.00044895774403,8.625
-65.00026297665374,8.65
-65.00006635071927,8.675
-64.9998682025168,8.700000000000001
-64.99967665978808,8.725
-64.99949885544028,8.75
-64.9993409275461,8.775
-64.99920801934373,8.8
-64.9991042792368,8.825000000000001
-64.99903286079449,8.85
-64.9989959227514,8.875
-64.99899462900773,8.9
-64.99902914862903,8.925
-64.99909865584644,8.950000000000001
-64.99920133005655,8.975
-64.99933435582145,9.0
-64.99949392286871,9.025
-64.99967522609138,9.05
-64.99987246554802,9.075000000000001
-65.00007884646269,9.1
-65.00028657922488,9.125
-65.00048687938963,9.15
-65.00066996767742,9.175
-65.00082506997428,9.200000000000001
-65.00094041733169,9.225
-65.00100324596659,9.25
-65.00099979726146,9.275
-65.00091531776424,9.3
-65.00078278036167,9.325000000000001
-65.00065349122025,9.35
-65.00053042872325,9.375
-65.00041607040025,9.4
-65.000312438698,9.425
-65.0002211009805,9.450000000000001
-65.00014316952894,9.475
-65.00007930154176,9.5
-65.00002969913459,9.525
-64.9999941093403,9.55
-64.99997182410898,9.575000000000001
-64.9999616803079,9.600000000000001
-64.99996205972161,9.625
-64.99997088905182,9.65
-64.99998563991748,9.675
-65.00000332885479,9.700000000000001
-65.0000205173171,9.725000000000001
-65.00003331167505,9.75
-65.00003736321645,9.775
-65.00002786814636,9.8
-65.00216924545222,9.825000000000001
-65.01715144830634,9.850000000000001
-65.03883541894585,9.875
-65.05907672030769,9.9
-65.07077280255301,9.925
-65.06786300306727,9.950000000000001
-65.04532854646015,9.975000000000001
-64.99919254456566,10.0
-64.92651999644202,10.025
-64.82541778837177,10.05
-64.69503469386166,10.075000000000001
-64.53556137364275,10.100000000000001
-64.34823037567037,10.125
-64.13531613512409,10.15
-63.90013497440776,10.175
-63.647045103149516,10.200000000000001
-63.381446618201736,10.225000000000001
-63.109781503641095,10.25
-62.860817775298,10.275
-62.639264276534796,10.3
-62.41827090214147,10.325000000000001
-62.18141857868064,10.350000000000001
-61.92275161064724,10.375
