epsilon,n_sims
1.5865753912395157,250
1.5414405060209144,250
1.3601765681731517,250
1.5374804552233103,250
1.636333425073258,250
1.4445061802137902,250
1.4044372750541347,250
1.4428315951717174,250
1.4400310845298612,250
1.4784056847871807,250
1.5278896436116765,500
1.5476860001607955,500
1.4070519781739836,500
1.5646367183339343,500
1.526697758340114,500
1.4445061802137902,500
1.4219535359890443,500
1.4378328958451627,500
1.4295645561553612,500
1.4780290421775586,500
1.4879289101998046,750
1.5569723141541107,750
1.4356001889826178,750
1.5374804552233103,750
1.5508702328568937,750
1.474428057952792,750
1.4449847932547697,750
1.4770008429477786,750
1.403890331797098,750
1.5076821889585696,750
1.4879289101998046,1000
1.553444624558316,1000
1.488454040214419,1000
1.4995421555892814,1000
1.5648933123130513,1000
1.5032157306502807,1000
1.474796373841396,1000
1.4561827668598966,1000
1.455453388183955,1000
1.5390823024515576,1000
1.5224840872173186,1250
1.532044425721819,1250
1.4846089377975469,1250
1.502101698818997,1250
1.567577387870962,1250
1.523565653719939,1250
1.483515630668092,1250
1.4659105323048671,1250
1.4677497914457147,1250
1.4903143987568164,1250
1.5108845304816536,1500
1.508017930270028,1500
1.4909018127086453,1500
1.514896934711605,1500
1.5240134621012604,1500
1.5154141567684927,1500
1.4823003571298314,1500
1.4832387883836926,1500
1.4725670317639301,1500
1.4903537568371696,1500
1.5271699454739474,2000
1.494211607172267,2000
1.5020354119406958,2000
1.502101698818997,2000
1.5464456056680609,2000
1.5249963431800793,2000
1.4843883037168308,2000
1.4843985432767277,2000
1.4833316721852636,2000
1.51399305277628,2000
