,Weight
spike_rate,0.18992802230368935
latency_to_first_spike,0.06333341301067134
average_AP_overshoot,0.417429891551012
average_AHP_depth,0.07402065606109817
average_AP_width,0.1514999336531494
accommodation_index,0.008405702873869318
