epsilon,n_sims
0.9213384032292611,250
0.9657665995281672,250
0.8683634442676048,250
0.8733599796551161,250
1.1152149769106927,250
0.9668694428085798,250
0.9871731850287735,250
0.9575121279358589,250
0.8644644793133023,250
0.8649772092234267,250
0.9307920391628038,500
0.91142086726912,500
0.8123567801536202,500
0.8338314676109735,500
0.8907526835706032,500
0.9128629661271307,500
0.9389506089204922,500
0.9299402144472837,500
0.8740330560448571,500
0.8774703741624904,500
0.8658745868426083,750
0.8924823705429279,750
0.8765321301344459,750
0.8479409859690697,750
0.872867466703482,750
0.9260130262247221,750
0.878284071958509,750
0.9299402144472837,750
0.8942664789011414,750
0.8862600847505651,750
0.8781803102682071,1000
0.8991676236693383,1000
0.8759816398099249,1000
0.8931642641269879,1000
0.8823571957696266,1000
0.8729248104447827,1000
0.8971955311279419,1000
0.946999472662126,1000
0.8687281684743127,1000
0.888056059661561,1000
0.8772511587930079,1250
0.8714770472565754,1250
0.8769235618631932,1250
0.918506951231945,1250
0.8865351712409876,1250
0.8778821091020157,1250
0.8964979302710563,1250
0.9295172099957636,1250
0.8656254550274245,1250
0.8831617409406931,1250
0.8732119169386735,1500
0.8714770472565754,1500
0.8753762221534638,1500
0.925688069127953,1500
0.8659467838190755,1500
0.8825615159111968,1500
0.9005159592143525,1500
0.9129531230379474,1500
0.8769725177259474,1500
0.8688456707812351,1500
0.8800986434717875,2000
0.9060560240435585,2000
0.845978162620957,2000
0.9136126340383185,2000
0.8949820405629985,2000
0.86371869486389,2000
0.8685768814694362,2000
0.8943451217232953,2000
0.8799957057097445,2000
0.8758191453448047,2000
