eta,g,$\eta$,$g$,mean_firing_rate,mean_cv,fanofactor
2.1396529424976065,6.040060821380852,2.1396529424976065,6.040060821380852,0.023944444444444442,0.54999643168474,0.3416666666666666
1.768175965554177,7.335283681468841,1.768175965554177,7.335283681468841,0.01161111111111111,0.6158206312729038,0.2833333333333333
3.504035348858995,5.147252862209595,3.504035348858995,5.147252862209595,0.07283333333333333,0.4434881514369816,0.18827586206896552
3.0674621542369467,5.867244912453668,3.0674621542369467,5.867244912453668,0.04327777777777777,0.569711383458748,0.3232558139534884
2.2444443495735076,4.588071834442577,2.2444443495735076,4.588071834442577,0.06072222222222222,0.3538031738983844,0.08515301902398675
2.4199857101656446,6.863674107514123,2.4199857101656446,6.863674107514123,0.02238888888888889,0.6248239139442384,0.29634703196347034
3.975936638787768,7.286895838070746,3.975936638787768,7.286895838070746,0.03677777777777778,1.171839921007329,0.9574585635359116
1.60827590325165,5.948230235535822,1.60827590325165,5.948230235535822,0.014777777777777779,0.5919317988987649,0.5513513513513514
2.1947334819319257,5.4383435694371265,2.1947334819319257,5.4383435694371265,0.03283333333333334,0.46156088750506896,0.248936170212766
3.6154207657018493,6.064462280291627,3.6154207657018493,6.064462280291627,0.04855555555555556,0.7074731985496344,0.6016460905349794
2.79387470086847,6.166738653980119,2.79387470086847,6.166738653980119,0.03294444444444444,0.614434290552152,0.3370820668693009
1.8648222171091773,7.98574535899144,1.8648222171091773,7.98574535899144,0.010777777777777778,0.7375628487075583,0.37222222222222223
3.535467152798047,7.581780274202929,3.535467152798047,7.581780274202929,0.029166666666666667,0.9052865016567256,1.089655172413793
2.0701169700109388,5.9991414927663556,2.0701169700109388,5.9991414927663556,0.0235,0.5614989611636563,0.2276572668112798
2.063203694066762,6.164943468122379,2.063203694066762,6.164943468122379,0.021611111111111116,0.5534054224251227,0.4322014051522248
1.9094799904729582,7.028233399954928,1.9094799904729582,7.028233399954928,0.013944444444444443,0.6171795656494735,0.7632616487455196
3.510333063884863,6.668786241844821,3.510333063884863,6.668786241844821,0.039333333333333345,0.7218187939714874,0.49801536491677345
3.5600882196120063,7.07695623249834,3.5600882196120063,7.07695623249834,0.03533333333333333,0.8618218063576313,0.6085714285714285
3.7463331282681804,5.957663559675359,3.7463331282681804,5.957663559675359,0.05261111111111111,0.6911360472200679,0.19687800192122956
1.9275890851947843,7.673092460515494,1.9275890851947843,7.673092460515494,0.012055555555555557,0.6407314596709035,0.5948979591836734
3.981178710933314,7.577037273828873,3.981178710933314,7.577037273828873,0.03716666666666667,1.166290366612779,1.4280653950953675
3.058147570840821,6.422840109580719,3.058147570840821,6.422840109580719,0.033999999999999996,0.6360998172504829,0.14852289512555386
3.069952147403691,5.844068048452405,3.069952147403691,5.844068048452405,0.04144444444444445,0.5552569588387987,0.26666666666666666
2.0719271975868625,7.575147738982343,2.0719271975868625,7.575147738982343,0.015333333333333332,0.6015212204144837,0.40993377483443705
2.1753368046381123,4.598414529301905,2.1753368046381123,4.598414529301905,0.05794444444444445,0.35314740543148204,0.12608695652173912
1.6341931094807034,6.953854733674946,1.6341931094807034,6.953854733674946,0.01083333333333333,0.597408237530224,0.4314814814814814
3.6746256699050086,7.740952145354592,3.6746256699050086,7.740952145354592,0.029666666666666668,0.9774300399986995,1.1101001669449082
3.852976189827389,6.3293954810082145,3.852976189827389,6.3293954810082145,0.052000000000000005,0.8248470361342555,0.8099804305283758
3.1020159749610046,6.820783184149754,3.1020159749610046,6.820783184149754,0.031166666666666665,0.6865507814343486,0.3866288492706645
3.550391984757658,6.603242032023752,3.550391984757658,6.603242032023752,0.03977777777777777,0.7551549417759839,0.686466165413534
1.6836023051008544,6.06463291030395,1.6836023051008544,6.06463291030395,0.016222222222222218,0.5422294752181906,0.4172839506172841
2.7534449665827916,6.534871623944719,2.7534449665827916,6.534871623944719,0.028944444444444446,0.6310999503808417,0.3746977547495682
3.6205185040539205,4.351589031232442,3.6205185040539205,4.351589031232442,0.13500000000000004,0.242686964984006,0.02487922705314009
3.0399336310203653,7.320428623520113,3.0399336310203653,7.320428623520113,0.026166666666666664,0.7508701349601677,0.4946564885496183
3.44338772755867,4.371077705292295,3.44338772755867,4.371077705292295,0.12538888888888888,0.26040018145523863,0.07310772927513016
3.1335880556748377,4.452381773150986,3.1335880556748377,4.452381773150986,0.10600000000000001,0.2909659451994416,0.06367723615712258
2.023436562142383,5.999921122413044,2.023436562142383,5.999921122413044,0.022166666666666664,0.5619716740170975,0.3409090909090909
2.077412915102613,7.302519039680025,2.077412915102613,7.302519039680025,0.015499999999999996,0.6433712585465811,0.3645161290322581
1.5443594804142557,6.461704775681797,1.5443594804142557,6.461704775681797,0.011944444444444445,0.6202232578667577,0.35043290043290043
1.639749884098417,4.598466126658074,1.639749884098417,4.598466126658074,0.03744444444444445,0.3947861747918654,0.1053475935828877
3.265289660890816,4.260299227782285,3.265289660890816,4.260299227782285,0.1322777777777778,0.2322188580052503,0.04355816597195908
2.4288679406480886,6.402692917014807,2.4288679406480886,6.402692917014807,0.025222222222222222,0.54450802887788,0.3143426294820717
3.9703295332728366,7.28475217757329,3.9703295332728366,7.28475217757329,0.03988888888888889,1.0129435714896189,1.3497512437810948
1.8606876898975844,6.393567253831161,1.8606876898975844,6.393567253831161,0.017500000000000005,0.5769335029164124,0.3705202312138728
3.6487754998267645,7.729820995859118,3.6487754998267645,7.729820995859118,0.03144444444444444,0.9821187496843825,1.371669341894061
3.8451133969949884,5.7926017089651465,3.8451133969949884,5.7926017089651465,0.06055555555555554,0.6493096318867791,0.2853088480801335
